Animals,Leavings,Rarity_Value,Num_Uniques
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Alligator', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.64,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Alligator', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.45,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.55,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Doe', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.45,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.55,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Doe', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.55,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Island Stag', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Alligator', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.82,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Amethyst Spriggan', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.64,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Amethyst Spriggan', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.55,10
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Amethyst Spriggan', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.64,10
